gyro_roll,gyro_pitch,gyro_yaw,acc_x,acc_y,acc_z
-1873,-2713,4,-93,-520,-5932
-204,-1107,206,-41,-11,-4614
1827,-4956,-912,-3455,-721,4549
-3804,-3592,-506,1450,-974,-6601
-4193,-3837,-887,-441,634,-5237
-1598,-2911,-674,-492,589,-3982
16,-1464,-460,-154,-198,-5882
-9727,-3482,-796,846,4770,-7419
2394,-2258,352,-1231,253,-2402
-3587,-3187,-401,-423,294,-7421
-2664,-2862,-436,-555,502,-4370
-277,-1224,-93,-559,159,-3796
3271,-3706,1376,-1571,2412,-2812
1056,-2762,1852,502,-1701,-5861
-3493,-3815,1103,-45,-565,-8740
-3540,-3604,882,-906,643,-4089
-1208,-1887,1097,-480,41,-4006
-9364,-561,-1004,-231,-1566,-8369
-11288,-5384,-1844,854,-1769,-11042
-462,-3179,-565,528,-624,-6552
-4388,-4205,-1389,-386,303,-4573
-2317,-2743,-1162,-759,857,-4655
-5918,-4466,-480,-722,1883,-4449
-1869,-2631,133,-180,79,-4694
1859,3809,1281,-1749,-1585,-5580
-1755,3257,745,525,-121,-6329
-3556,2128,334,-192,549,-3492
-776,2107,658,293,48,-4865
-813,1122,533,436,203,-4669
-307,1666,1291,3113,5832,-13925
-4979,3176,375,-811,672,-1140
-2892,3349,638,1029,-838,-8527
-3166,2247,476,-12,667,-3722
-1290,1857,678,494,391,-4951
-1647,-1895,-749,-3412,1383,-1717
-4237,1889,280,-712,1706,-3243
-1844,2252,550,692,-499,-6099
-1176,1712,526,96,376,-3348
-968,1128,502,202,184,-5565
-625,-459,-2164,-4156,3032,3238
-2567,5481,956,-325,-1933,-2142
-5066,4308,408,1148,-486,-5378
-2857,3940,632,499,430,-3876
-3317,2144,246,362,354,-6347
-2480,3779,-568,1604,-1759,-10136
-2561,2349,-503,419,-763,-5696
-3757,2030,-601,-175,798,-4160
-930,2048,-240,261,164,-3947
-744,1272,-253,273,189,-5290
-3826,993,-134,-613,2209,1093
-2534,2918,640,514,-432,-7560
-1799,2323,536,14,96,-4640
-939,2211,700,396,60,-4570
-960,1261,541,239,263,-4815
-3661,181,-1179,315,1378,-15682
4684,-3279,-639,-35,1492,-2183
3159,-2489,-597,15,-935,-9016
287,-2908,-1176,-999,493,-2968
698,-1007,-797,139,-633,-4184
6110,799,504,-21,-2747,1048
5673,-1377,134,-584,-701,-4021
346,-2625,-818,-524,-37,-6918
1101,-1718,-654,-336,129,-3256
126,-1099,-649,-223,-241,-4686
-2218,-838,-553,-1224,1541,-11502
1766,-1818,-722,-302,-123,-3690
1411,-1435,-586,-176,-329,-4613
1138,-1199,-680,-106,-77,-5449
-675,-1034,-820,-177,-203,-5685
12028,-1611,770,-3884,-4392,6019
3259,-2286,-416,114,-974,-4175
925,-2864,-861,-825,250,-3711
1820,-2107,-658,-35,-1082,-6561
-693,-1921,-951,-390,-193,-5976
7235,995,812,3196,-6072,-6708
2362,-3678,-1026,-1160,1822,-743
3241,-2865,-891,-76,-461,-2966
2220,-2130,-844,9,-889,-4577
818,-1529,-974,-51,-776,-6075
-12628,-3589,-1599,-3054,8995,-7880
1957,-2769,-605,1149,-1630,-6299
100,-2729,-682,-15,-520,-6617
2165,-1532,-350,-416,-63,-2889
117,-1125,-473,-275,-301,-5389
-7012,2921,-2222,1052,4291,-3249
5765,3990,-1939,-2845,1589,3521
3701,6275,-1294,730,-1216,-3167
1688,3873,-1584,927,-539,-6039
1604,1954,-1646,550,-694,-5673
-1797,-1051,-87,5207,-6682,-2340
8968,7420,508,1787,-2707,-10690
-324,3607,-1219,1355,-1471,-10182
602,2754,-1060,1149,-1345,-7552
580,1191,-1110,81,-408,-4472
-3197,454,-695,-2909,3646,-10495
3604,1426,-492,-2184,1572,1887
3445,3460,-403,1083,-2392,-8293
-651,1491,-1013,-42,589,-5910
1258,1839,-602,523,-485,-4212
571,4870,-284,-1145,-3297,-10745
-2432,2086,-1249,712,1347,-7254
346,1726,-1041,-331,410,-1404
1966,2297,-457,921,-1047,-5401
203,1019,-674,165,-310,-4992
5971,7841,1576,4293,-4949,-9451
-3919,1511,-367,152,409,-8976
3495,3670,689,1283,-1222,-6167
464,1996,132,534,-332,-3602
125,1510,190,522,-650,-6524
-4010,168,-431,2233,-430,-16999
1299,1621,-262,-669,574,-758
-1004,1549,-342,-183,-145,-5070
746,1525,-80,-48,229,-3145
350,1176,-56,311,-301,-4867
6840,-5021,273,-5278,-7294,8338
-5899,-5621,-620,2507,-3249,-5294
-5048,-5590,-808,-828,697,-6758
