gyro_roll,gyro_pitch,gyro_yaw,acc_x,acc_y,acc_z
-7012,2921,-2222,1052,4291,-3249
5765,3990,-1939,-2845,1589,3521
3701,6275,-1294,730,-1216,-3167
1688,3873,-1584,927,-539,-6039
1604,1954,-1646,550,-694,-5673
-1797,-1051,-87,5207,-6682,-2340
8968,7420,508,1787,-2707,-10690
-324,3607,-1219,1355,-1471,-10182
602,2754,-1060,1149,-1345,-7552
580,1191,-1110,81,-408,-4472
-3197,454,-695,-2909,3646,-10495
3604,1426,-492,-2184,1572,1887
3445,3460,-403,1083,-2392,-8293
-651,1491,-1013,-42,589,-5910
1258,1839,-602,523,-485,-4212
571,4870,-284,-1145,-3297,-10745
-2432,2086,-1249,712,1347,-7254
346,1726,-1041,-331,410,-1404
1966,2297,-457,921,-1047,-5401
203,1019,-674,165,-310,-4992
5971,7841,1576,4293,-4949,-9451
-3919,1511,-367,152,409,-8976
3495,3670,689,1283,-1222,-6167
464,1996,132,534,-332,-3602
125,1510,190,522,-650,-6524
-4010,168,-431,2233,-430,-16999
1299,1621,-262,-669,574,-758
-1004,1549,-342,-183,-145,-5070
746,1525,-80,-48,229,-3145
350,1176,-56,311,-301,-4867
