label,average_gyro_roll,average_gyro_pitch,average_gyro_yaw,average_acc_x,average_acc_y,average_acc_z,variance_gyro_roll,variance_gyro_pitch,variance_gyro_yaw,variance_acc_x,variance_acc_y,variance_acc_z
rotor3,1117.25,-2123.75,-897.75,-176.0,607.0,-7462.25,10102859.1875,1848732.6875,78481.6875,243693.0,942106.5,29511798.1875
rotor3,2207.0,-2420.75,-802.25,-220.0,104.25,-4587.75,3251328.5,744338.1875,52123.6875,206293.0,925138.6875,7044706.1875
rotor3,3307.5,-1230.25,-208.5,-366.25,-839.0,-3286.75,6772180.25,1580654.6875,298730.75,48103.1875,1309934.0,8129025.6875
rotor3,1811.5,-1704.75,-496.75,-416.75,-212.5,-4720.25,5101148.25,330347.1875,137238.6875,20883.6875,96716.75,1866064.1875
rotor3,524.25,-1322.5,-635.25,-452.0,253.0,-6313.5,2556223.1875,127042.25,4679.6875,203594.0,561986.0,9360586.25
rotor3,910.0,-1371.5,-702.0,-190.25,-183.0,-4859.25,886986.5,86764.25,7066.0,4991.1875,9138.0,614363.1875
rotor3,4508.0,-2217.0,-291.25,-1157.5,-1549.5,-2107.0,19543408.5,200676.5,400233.6875,2605269.25,2966940.75,23179858.0
rotor3,1327.75,-2294.5,-721.5,-284.0,-499.75,-5105.75,2054418.6875,124765.25,42373.25,131080.5,305037.1875,1421677.6875
rotor3,3764.5,-1919.5,-487.25,492.25,-1400.0,-3748.5,4167727.25,3131228.25,567146.6875,2649158.1875,8337927.5,4772597.25
rotor3,2160.25,-2550.5,-933.75,-319.5,-76.0,-3590.25,753482.1875,647612.25,5003.1875,236434.25,1225399.5,3911044.6875
rotor3,-2101.5,-2654.75,-809.0,-584.0,1695.5,-5921.25,37582062.25,537989.1875,223131.5,2364043.5,18085603.25,3414501.1875
rotor3,1084.75,-2038.75,-527.5,110.75,-628.5,-5298.5,958508.1875,525361.1875,16088.25,380011.1875,360455.25,2138330.75
rotor4,1035.5,4264.75,-1759.75,-34.0,1031.25,-2233.5,23665268.25,1518931.1875,123404.1875,2647083.5,4613218.1875,12374690.75
rotor4,3189.5,4023.0,-1615.75,-159.5,-215.0,-2839.5,2915786.25,2343963.5,52484.1875,2421748.25,1147708.5,14707184.75
rotor4,1862.25,3182.5,-464.5,2374.5,-3051.25,-7691.0,17562428.1875,9060685.25,503038.25,2727360.75,4677333.1875,10962901.0
rotor4,2456.5,3743.0,-720.25,1093.0,-1482.75,-8224.0,14272808.75,5257412.5,506171.1875,394390.0,668247.1875,6111002.0
rotor4,800.25,1707.75,-650.75,-1013.0,853.75,-5702.75,8234962.6875,1192158.1875,54941.1875,2575528.5,4729382.1875,21830578.1875
rotor4,1914.0,2054.0,-627.5,-155.0,-179.0,-4132.0,3052405.5,683603.5,54505.25,1530484.5,2161707.5,14177491.5
rotor4,112.75,2744.75,-757.75,39.25,-646.75,-6201.0,2543671.6875,1547242.6875,159111.6875,692402.1875,3068946.1875,11351988.5
rotor4,20.75,1782.0,-855.25,366.75,100.0,-4762.75,2484745.6875,235736.5,95249.1875,238487.1875,783704.5,4486861.6875
rotor4,1502.75,3754.5,507.5,1565.5,-1523.5,-7049.0,13602173.1875,6208059.25,520096.25,2645259.25,4244795.25,5535666.5
rotor4,41.25,2171.75,161.0,622.75,-448.75,-6317.25,6949425.1875,787536.1875,139812.5,168890.6875,346945.6875,3626713.6875
rotor4,-742.25,1215.75,-278.75,333.25,57.0,-6493.0,4282073.1875,367174.6875,16740.6875,1256355.1875,143711.5,39125073.5
rotor4,347.75,1467.75,-185.0,-147.25,89.25,-3460.0,722678.1875,29620.6875,14561.0,123336.1875,115420.1875,2992944.5
rotor2,-1057.0,2825.25,754.5,-280.75,-277.25,-5066.5,3828555.5,539053.1875,115856.25,785514.1875,630775.1875,1094310.25
rotor2,-1725.0,2153.5,567.5,265.5,169.75,-4838.75,1271451.5,571129.25,23852.25,76618.25,61073.6875,1016021.1875
rotor2,-2836.0,2609.5,695.0,829.75,1583.25,-6828.5,2775081.5,472345.25,127206.5,2163383.6875,6396054.6875,23813647.25
rotor2,-3081.75,2657.25,541.75,175.0,223.0,-4585.0,1713257.1875,389081.1875,14989.1875,459560.5,388170.5,7071528.5
rotor2,-2226.0,989.5,151.75,-834.0,741.5,-3601.75,1406946.5,2811338.25,281616.1875,2463636.0,753553.25,2495407.6875
rotor2,-2056.25,1745.25,464.5,69.5,441.75,-4563.75,1689962.1875,164890.6875,11634.75,254126.75,638524.1875,1645480.6875
rotor2,-2778.75,3317.5,-42.0,-708.5,260.75,-2039.5,2480278.1875,5077820.25,1538916.0,4234244.25,3269661.6875,10595206.75
rotor2,-3451.75,3968.25,560.5,421.0,-408.75,-4435.75,940117.6875,1433132.1875,70924.75,273652.5,903648.6875,2528830.1875
rotor2,-2432.0,2551.5,-478.0,527.25,-390.0,-5984.75,1007643.5,518309.25,20124.5,433788.1875,932887.5,6199597.6875
rotor2,-1998.0,1924.75,-399.25,194.5,97.0,-4773.25,1531047.5,158084.6875,24554.1875,49378.75,310988.5,544315.6875
rotor2,-2274.5,2111.25,435.5,77.75,483.25,-3919.25,1121038.25,489029.1875,111552.75,193199.1875,1036249.6875,9830166.6875
rotor2,-1558.0,2178.25,604.25,290.75,-3.25,-5396.25,437855.5,352650.6875,4776.1875,35046.6875,67141.6875,1568567.1875
rotor1,-1847.25,-5182.75,-474.5,-1096.5,-2339.25,-1783.0,26047074.6875,212898.1875,190810.25,7659509.25,10648751.1875,35546403.0
rotor1,-3848.75,-4542.75,-668.25,-132.25,-344.25,-5139.75,3290019.6875,1648738.1875,13771.1875,2384820.6875,2819373.6875,1402381.1875
rotor1,-2973.25,-2516.5,150.0,-68.25,104.5,-5437.25,2912360.1875,2240533.25,261838.5,266246.1875,1206806.25,825846.6875
rotor1,-2466.0,-2729.25,-34.25,-259.0,357.75,-4922.25,4435251.5,1414478.1875,71462.1875,73922.5,827627.6875,347669.1875
rotor1,-3396.0,-2947.25,-320.25,-340.75,1454.75,-5403.0,18544491.5,206442.6875,174544.1875,563397.1875,3672539.6875,4552417.5
rotor1,-1033.5,-2382.75,-144.5,-692.0,302.0,-4497.25,5374735.25,558690.6875,99982.25,99835.0,15728.5,3361582.6875
rotor1,-1942.0,-3824.0,-744.75,-734.5,-118.0,-2817.75,5714435.5,542246.5,27553.6875,3079527.25,540424.5,18947558.6875
rotor1,-2394.75,-2951.0,-631.75,90.75,12.75,-5425.5,2916553.6875,852161.5,28062.1875,632454.6875,434026.6875,927354.25
rotor1,-676.5,-3471.75,1303.25,-505.0,197.25,-5375.5,8679154.25,173482.1875,130992.6875,630701.5,2322047.1875,4945546.25
rotor1,-1796.25,-3017.0,1233.5,-232.25,-395.5,-5674.0,3600248.1875,580824.5,135439.25,272376.1875,750518.75,3682443.5
rotor1,-6375.5,-3332.25,-1200.5,191.25,-914.0,-7634.0,17995856.75,3168670.6875,223024.25,266037.6875,680329.5,5673783.5
rotor1,-4613.75,-3877.75,-1240.0,59.25,-308.25,-6705.5,16777166.1875,1037947.6875,212181.5,429783.6875,991230.6875,6895225.25
