gyro_roll,gyro_pitch,gyro_yaw,acc_x,acc_y,acc_z
1859,3809,1281,-1749,-1585,-5580
-1755,3257,745,525,-121,-6329
-3556,2128,334,-192,549,-3492
-776,2107,658,293,48,-4865
-813,1122,533,436,203,-4669
-307,1666,1291,3113,5832,-13925
-4979,3176,375,-811,672,-1140
-2892,3349,638,1029,-838,-8527
-3166,2247,476,-12,667,-3722
-1290,1857,678,494,391,-4951
-1647,-1895,-749,-3412,1383,-1717
-4237,1889,280,-712,1706,-3243
-1844,2252,550,692,-499,-6099
-1176,1712,526,96,376,-3348
-968,1128,502,202,184,-5565
-625,-459,-2164,-4156,3032,3238
-2567,5481,956,-325,-1933,-2142
-5066,4308,408,1148,-486,-5378
-2857,3940,632,499,430,-3876
-3317,2144,246,362,354,-6347
-2480,3779,-568,1604,-1759,-10136
-2561,2349,-503,419,-763,-5696
-3757,2030,-601,-175,798,-4160
-930,2048,-240,261,164,-3947
-744,1272,-253,273,189,-5290
-3826,993,-134,-613,2209,1093
-2534,2918,640,514,-432,-7560
-1799,2323,536,14,96,-4640
-939,2211,700,396,60,-4570
-960,1261,541,239,263,-4815
