gyro_roll,gyro_pitch,gyro_yaw,acc_x,acc_y,acc_z
-1873,-2713,4,-93,-520,-5932
-204,-1107,206,-41,-11,-4614
1827,-4956,-912,-3455,-721,4549
-3804,-3592,-506,1450,-974,-6601
-4193,-3837,-887,-441,634,-5237
-1598,-2911,-674,-492,589,-3982
16,-1464,-460,-154,-198,-5882
-9727,-3482,-796,846,4770,-7419
2394,-2258,352,-1231,253,-2402
-3587,-3187,-401,-423,294,-7421
-2664,-2862,-436,-555,502,-4370
-277,-1224,-93,-559,159,-3796
3271,-3706,1376,-1571,2412,-2812
1056,-2762,1852,502,-1701,-5861
-3493,-3815,1103,-45,-565,-8740
-3540,-3604,882,-906,643,-4089
-1208,-1887,1097,-480,41,-4006
-9364,-561,-1004,-231,-1566,-8369
-11288,-5384,-1844,854,-1769,-11042
-462,-3179,-565,528,-624,-6552
-4388,-4205,-1389,-386,303,-4573
-2317,-2743,-1162,-759,857,-4655
-5918,-4466,-480,-722,1883,-4449
-1869,-2631,133,-180,79,-4694
